,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3740423691376005,,Intercept,312.6909169188356,313.0,0.3090830811643741,313.0
1,1,grade:A,1.1236595133111837,3.229893316940098e-35,grade,86.69243234382328,87.0,0.30756765617671533,87.0
2,2,grade:B,0.8789198200414181,4.277252466068336e-47,grade,67.81030742137678,68.0,0.18969257862322308,68.0
3,3,grade:C,0.684797581802414,6.7107398473738395e-34,grade,52.833413793363825,53.0,0.1665862066361754,53.0
4,4,grade:D,0.4969228406629744,1.3470151657080695e-20,grade,38.33852624744793,38.0,-0.3385262474479305,38.0
5,5,grade:E,0.32149215135811327,1.0254357387898566e-11,grade,24.80372056705483,25.0,0.19627943294516825,25.0
6,6,grade:F,0.1342825289764605,0.006242358376513437,grade,10.360148176866264,10.0,-0.36014817686626444,10.0
7,7,home_ownership:OWN,0.09351381148236589,3.4626786338518206e-06,home_ownership,7.214765397445563,7.0,-0.21476539744556344,7.0
8,8,home_ownership:MORTGAGE,0.10624939862663725,4.419393830136168e-17,home_ownership,8.197339757191004,8.0,-0.1973397571910045,8.0
9,9,addr_state:NM_VA,0.03601882964500448,0.26084949867068297,addr_state,2.7789200510586456,3.0,0.2210799489413544,3.0
10,10,addr_state:NY,0.05555632824808256,0.0218303574019034,addr_state,4.2862745972981555,4.0,-0.2862745972981555,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.057996181363836594,0.012258112235523845,addr_state,4.474513826940842,4.0,-0.474513826940842,4.0
12,12,addr_state:CA,0.06215106389216002,0.0033751218522470286,addr_state,4.795070782331883,5.0,0.20492921766811723,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07645957001324755,0.0021485800695508826,addr_state,5.898998782005249,6.0,0.10100121799475126,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.1334414278228273,3.1496380890306426e-09,addr_state,10.295255650267357,10.0,-0.29525565026735734,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.09789463034002331,0.0010331828855115021,addr_state,7.552753763074995,8.0,0.44724623692500476,8.0
16,16,addr_state:GA_WA_OR,0.18376201863380173,5.573748791594988e-12,addr_state,14.177583315101092,14.0,-0.17758331510109215,14.0
17,17,addr_state:WI_MT,0.23791500068909738,5.626610379577014e-07,addr_state,18.35558712980725,18.0,-0.35558712980725105,18.0
18,18,addr_state:TX,0.22095970671876358,1.8364814070697744e-17,addr_state,17.047454498899043,17.0,-0.047454498899043074,17.0
